ev_threshold,bets,total_pnl,roi,win_rate,mean_tail_ev,mc_p50,mc_actual_percentile,markets
0.018,1217,270.805,0.22251848808545605,0.4971240755957272,0.21459140731850065,260.305,56.56666666666666,"{'1X2': np.int64(592), 'HC': np.int64(449), 'OU': np.int64(176)}"
0.019,1209,276.825,0.22897022332506203,0.49958643507030603,0.21588932182804899,262.38199999999995,59.96666666666667,"{'1X2': np.int64(587), 'HC': np.int64(448), 'OU': np.int64(174)}"
0.02,1193,276.215,0.23152975691533945,0.5020955574182733,0.2185236146144346,257.68049999999994,63.33333333333333,"{'1X2': np.int64(579), 'HC': np.int64(448), 'OU': np.int64(166)}"
0.021,1185,274.765,0.23186919831223626,0.5029535864978903,0.21986121679656132,258.653,60.8,"{'1X2': np.int64(573), 'HC': np.int64(448), 'OU': np.int64(164)}"
0.022,1163,283.20500000000004,0.24351246775580399,0.5073086844368013,0.2236126462286663,258.94,66.06666666666666,"{'1X2': np.int64(557), 'HC': np.int64(448), 'OU': np.int64(158)}"
0.023,1150,292.45500000000004,0.25430869565217396,0.5113043478260869,0.22588364513261439,260.6664999999999,71.46666666666667,"{'1X2': np.int64(548), 'HC': np.int64(447), 'OU': np.int64(155)}"
0.024,1329,262.18499999999995,0.19727990970654624,0.4687735139202408,0.2073740982290256,277.442,40.6,"{'1X2': np.int64(730), 'HC': np.int64(445), 'OU': np.int64(154)}"
0.038,1135,238.426,0.2100669603524229,0.4828193832599119,0.23737960438227143,272.028,28.199999999999996,"{'1X2': np.int64(586), 'HC': np.int64(433), 'OU': np.int64(116)}"
0.039,1107,244.23600000000002,0.22062872628726288,0.4878048780487805,0.2424127730520098,268.989,34.0,"{'1X2': np.int64(564), 'HC': np.int64(429), 'OU': np.int64(114)}"
0.04,537,268.658,0.5002942271880819,0.7411545623836127,0.44378446759420204,238.8215,88.06666666666668,"{'HC': np.int64(428), 'OU': np.int64(109)}"
0.041,1069,220.19599999999997,0.20598316183348922,0.490177736202058,0.24961031659067093,268.28700000000003,19.833333333333332,"{'1X2': np.int64(534), 'HC': np.int64(428), 'OU': np.int64(107)}"
0.042,1054,226.28599999999997,0.21469259962049334,0.49335863377609107,0.25257206924552333,266.02700000000004,23.533333333333335,"{'1X2': np.int64(522), 'HC': np.int64(428), 'OU': np.int64(104)}"
